,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
163,"Jongens Uit De Cité",Spanker,25394,https://open.spotify.com/track/439RIQU0snxnCLlv69BmMa
164,Medicijn,Chivv,25354,https://open.spotify.com/track/41DSQQ6aJLCj2J9jGeJVbn
165,"Say So (feat. Nicki Minaj)","Doja Cat",25303,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
166,"Het Regent Zonnestralen","Acda en de Munnik",25263,https://open.spotify.com/track/2LGL71GENQR0oC9jMwTTZY
167,Marijuana,Josylvio,25188,https://open.spotify.com/track/6EFqESvZHB2jZVgeJyLYl6
168,Daisies,"Katy Perry",25137,https://open.spotify.com/track/4uqh9bualXNHXXwO2wPorc
169,"Beautiful People (feat. Khalid)","Ed Sheeran",24901,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
170,Dior,"Pop Smoke",24674,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
171,Skechers,DripReport,24487,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
172,POSITIE,Caza,24337,https://open.spotify.com/track/5dVXY5359o7XBmfoNCBMxg
173,"HOUSE PARTY",Architrackz,24302,https://open.spotify.com/track/4SMBjuIWu3uJcx6t3VHrOO
174,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",24218,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
175,Magisch,"Yade Lauren",24214,https://open.spotify.com/track/7G7fGz8Wx3ilNnUYEDw0cR
176,"After Party","Don Toliver",24195,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
177,"Verleden Tijd",Frenna,24173,https://open.spotify.com/track/7qkqUFKET2tAjVHLxlLYOe
178,"Wake Me Up",Avicii,23979,https://open.spotify.com/track/3B0irDyS69y5eAz15xV2Ee
179,"The Other Side (from Trolls World Tour)",SZA,23854,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
180,B23,Frsh,23846,https://open.spotify.com/track/0QQbe3UjHYBsXrZ4Eat9jk
181,"I'll Wait",Kygo,23565,https://open.spotify.com/track/1tuXOJYN6CkgubpifHEm96
182,Joanne,"Lil Kleine",23370,https://open.spotify.com/track/4CVDlvgNCQG73T7KM5hbS0
183,"Danza Kuduro","Don Omar",23365,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw
184,"Post Malone (feat. RANI)","Sam Feldt",23357,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
185,Baianá,Bakermat,23231,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS
186,"Ring Ring",Equalz,23172,https://open.spotify.com/track/4ftFggEy27BIlkJY9F7Fk2
187,"4 Life","Jonna Fraser",23168,https://open.spotify.com/track/4BV8ZyGLSNpt12q3OiZlOX
188,"Summer Of '69","Bryan Adams",23143,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa
189,Leef,"André Hazes Jr.",23083,https://open.spotify.com/track/1MZkpg4JmhAWCvysue8VDd
190,"lovely (with Khalid)","Billie Eilish",22881,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
191,"SEASONS - SE1EP1: Lijpe",Lijpe,22743,https://open.spotify.com/track/0SrGp3u3FLih2g3wT6RXTf
192,"Was Sorry Maar Genoeg","Tino Martin",22552,https://open.spotify.com/track/56oJRXiTIelk1eRDeJ4aqO
193,Legendary,Spanker,22512,https://open.spotify.com/track/2Y99pkUlw5GPHAadtxnUcY
194,"Jesus Piece",Chivv,22481,https://open.spotify.com/track/3ToUqoJP6MMKkWzvP4vd8O
195,"GUAP (feat. Dopebwoy)",Boef,22367,https://open.spotify.com/track/3J6KEr0wjZbKPpa70cXzHI
196,"X (with KAROL G)","Jonas Brothers",22333,https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY
197,Tusa,"KAROL G",22264,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
198,"I'm Just Feelin' (Du Du Du)",Imanbek,21938,https://open.spotify.com/track/73ThEGwF5i9GrsXXGyZBRa
199,"BON VIBES","Chip Charlez",21812,https://open.spotify.com/track/2zlp91MvE7y89ptUqPfPA2
200,Bruises,"Lewis Capaldi",21802,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
